@relation try

@attribute Prediction {N,T}
@attribute MethodType {Inner,Leaf, Root}
@attribute CallersT {0,1}
@attribute CallersN {0,1}
@attribute CallersU {0,1}
@attribute CalleesT {0,1}
@attribute CalleesN {0,1}
@attribute CalleesU {0,1}
@attribute CallersCallersT {0,1}
@attribute CallersCallersN {0,1}
@attribute CallersCallersU {0,1}
@attribute CalleesCalleesT {0,1}
@attribute CalleesCalleesN {0,1}
@attribute CalleesCalleesU {0,1}

@data
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,0,1,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,1
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
T,Inner,0,1,0,0,0,0,1,0,0,0,1,0
T,Inner,1,0,0,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,0,1,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,1,0,0,0,0,0,0,0,1,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,0,1,0,0,0,0,1,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
T,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,0,1,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,0,1,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,0,1,0,1,0
T,Inner,0,0,1,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,1
T,Inner,1,0,0,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,0,1,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
T,Inner,0,0,1,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,1
T,Inner,1,0,0,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,1
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,0,0,1,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0
T,Inner,1,0,0,0,0,0,1,0,0,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,0,1,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
T,Inner,0,0,1,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,0,1,0,0,1
T,Inner,1,0,0,0,0,0,1,0,0,1,0,0
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0
N,Inner,0,1,0,0,0,0,0,1,0,0,0,1
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
T,Root,0,0,0,0,0,0,0,0,1,0,0,0
T,Root,0,0,0,0,0,0,1,0,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,0,1,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Inner,0,0,1,0,1,1,0,1,0,0,1,0
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Root,0,0,0,0,0,0,0,0,1,0,0,0
N,Root,0,0,0,0,0,0,0,1,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,1,0,1,1,1,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,1,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0
